Date,Username,User tag,Content,Mentions,link
"2025-09-25,20:09:48",emirhssk,#0,sure thx,spicylemon._.#0,
"2025-09-25,23:53:51",.gharib,#0,in q5,,
"2025-09-25,23:53:57",.gharib,#0,what did you guys get for cii,,
"2025-09-25,23:54:05",.gharib,#0,i got 9.89 but i dont think that matches,,
"2025-09-25,23:54:11",.gharib,#0,also should we round up or down,,
"2025-09-25,23:54:15",.gharib,#0,and how tf do we do ci,,
"2025-09-25,23:55:55",alanwang981,#0,use the 3 equilibrium equations,,
"2025-09-26,00:04:24",alanwang981,#0,remember that roller only has vertical component,.gharib#0,
"2025-09-26,00:04:27",alanwang981,#0,no horizontal,,
"2025-09-26,19:48:54",vwrrwe,#0,"does c i) want the expressions to have variable ""h"" or ""n(number of storeys)""",,
"2025-09-26,19:51:10",alanwang981,#0,I used n,,
"2025-09-26,19:52:46",vwrrwe,#0,ok thx,alanwang981#0,
"2025-09-26,19:54:50",.gharib,#0,i used h/3.8 to make the units in meters,vwrrwe#0,
"2025-09-26,19:55:03",.gharib,#0,i felt like n didn’t make sense because all the units relate to height,,
"2025-09-26,19:56:51",alanwang981,#0,the previous questions asked for n,,
"2025-09-26,19:59:23",ab0kki,#0,h does make the equations nicer cubics for example,,
"2025-09-26,20:00:53",alanwang981,#0,"ngl, I dont think it matters",,
"2025-09-26,20:30:17",shyahaltyo,#0,true it says to round it anyways so i assumed we were gonna get shitty numbers,,
"2025-09-26,21:17:32",vwrrwe,#0,"It probablky doesnt matter. I think ""n"" would probably be the prefered case, because for ii), using ""n"" would have 1 less step. But ya, makes no difference",.gharib#0,
"2025-09-26,21:33:27",shyahaltyo,#0,yeah i did the variable as amount of storeys,,
"2025-09-26,21:33:45",shyahaltyo,#0,also we are allowed to digitally plot the graphs roght,,
"2025-09-26,21:33:52",shyahaltyo,#0,cuz i was not gpnna do that by hand,,
"2025-09-26,22:11:14",vwrrwe,#0,"probably, i di dit by hand - It was annoying",shyahaltyo#0,
"2025-09-26,23:15:34",german_airframe,#0,i did by hand,,
"2025-09-27,09:38:13",shyahaltyo,#0,you guys are crazy,,
"2025-09-27,12:02:22",spicylemon._.,#0,Oh,,
"2025-09-27,12:02:25",spicylemon._.,#0,I did it by hand,,
"2025-09-27,12:02:59",vwrrwe,#0,u only suppose to do 5 points. it wasnt terrible,shyahaltyo#0,
"2025-09-27,13:43:01",spicylemon._.,#0,are you guys getting values several orders of magnitude higher for b) than a),,
"2025-09-27,13:43:57",spicylemon._.,#0,"also, im getting 0 stories for c) ii)",,
"2025-09-27,13:44:02",spicylemon._.,#0,💀,,
"2025-09-27,13:47:40",spicylemon._.,#0,Wait no i got 1,,
"2025-09-27,14:12:49",alanwang981,#0,yes,spicylemon._.#0,
"2025-09-27,14:12:52",alanwang981,#0,uhhh,spicylemon._.#0,
"2025-09-27,14:12:54",alanwang981,#0,thats not good,,
"2025-09-27,14:13:52",spicylemon._.,#0,thanks!,alanwang981#0,
"2025-09-27,14:14:02",spicylemon._.,#0,yeah...,alanwang981#0,
"2025-09-27,14:15:22",spicylemon._.,#0,Am i allowed to explain my thought process here 😭,,
"2025-09-27,14:16:13",alanwang981,#0,should be fine as long as you dont send your entire work,,
"2025-09-27,14:19:40",spicylemon._.,#0,"my thought was that more moment from By has to oppose the wind load for more stories, which would decrease Ay since they have to sum to the udls",,
"2025-09-27,14:20:00",alanwang981,#0,yep,,
"2025-09-27,14:20:25",alanwang981,#0,did you get that the roller force is 660n-4.57n^3?,,
"2025-09-27,14:30:27",spicylemon._.,#0,Wait it was because i thought f(n) = n is a decreasing function,,
"2025-09-27,14:30:31",spicylemon._.,#0,Im trippin balls,,
"2025-09-27,14:30:35",spicylemon._.,#0,We good,,
"2025-09-27,17:02:00",vwrrwe,#0,yep,alanwang981#0,
"2025-09-27,18:15:13",spicylemon._.,#0,i never sub in until the end,alanwang981#0,
"2025-09-27,18:38:52",.gharib,#0,anyone tryna explain thought process for d,,
"2025-09-27,18:38:58",.gharib,#0,idk what to do,,
"2025-09-27,18:43:43",vwrrwe,#0,i explained the trend of the graph,.gharib#0,
"2025-09-27,18:48:02",.gharib,#0,like both a and b?,vwrrwe#0,
"2025-09-27,18:49:22",vwrrwe,#0,ya,.gharib#0,
"2025-09-27,18:49:28",vwrrwe,#0,idk if im correct tho,,
"2025-09-27,22:42:47",shyahaltyo,#0,can confirm I got this too,alanwang981#0,
"2025-09-27,22:43:10",shyahaltyo,#0,before it was like Fload/2 - 1/12h^3,,
"2025-09-28,16:07:54",inverted_badger_,#0,"I got these 

a) Load (kN) = 660n (where n = number of floors)

b) Fr_pin = 41.572n³ kN

c)

i)
V_pin = 660n + 41.57n³ kN
R_roller = 660n - 41.57n³ kN
H_pin = -19.25n² kN

ii) n = 72 floors (R_roller is maximized at 72 floors)

iii) n = 145 floors (building starts to tip at 145 floors)

d) False. Doubling the height doubles the vertical reaction force but increases the wind reaction force by 8x, making the structure much more expensive than double to build safely.",,
"2025-09-28,16:10:29",vwrrwe,#0,i got diff answer for all your c),inverted_badger_#0,
"2025-09-28,16:11:40",vwrrwe,#0,and your b,inverted_badger_#0,
"2025-09-28,16:26:49",alanwang981,#0,I got 4.57n^3…,inverted_badger_#0,
"2025-09-28,18:13:12",inverted_badger_,#0,Uh oh,,
"2025-09-28,18:13:21",inverted_badger_,#0,Time to restart 🫡,,
"2025-09-28,18:17:46",inverted_badger_,#0,Ahh fixed it,,
"2025-09-30,00:10:09",alanwang981,#0,"anyone got these for assignment 4? (edit: I have like 10 other ppl confirming my answers so I'm decently confident atp)
a) Rx = 89500kN, Ry = 79200kN, Ax = 89500kN
b) AB = 78600kN, AJ = 24400kN
c) RJ = 26800kN, RS = 79500kN
d) IZ = 22100kN, IH = HG = 18900kN, IQ = QY = 26200kN, ZY = QH = HP = 0kN


if you are getting different answers as me, 2 things to note:
- on b and c, AR has a compression force, which means it points into the joints
- on d, I got that the rightmost length is 19.64. if you can prove me wrong pls do that",,
"2025-09-30,01:56:21",mirageiiirz,#0,bro probably goes to a movie premiere and posts spoilers online,,
"2025-09-30,02:06:52",.gharib,#0,how did you even have time to do ts,,
"2025-09-30,02:22:49",german_airframe,#0,its 1 civ question bruh,,
"2025-09-30,02:22:55",german_airframe,#0,it can't take too long,,
"2025-09-30,02:23:17",german_airframe,#0,<@1280375815120490522> we need to make an alan shares civ answers channel,mirageiiirz#0,
"2025-09-30,02:23:23",german_airframe,#0,where only alan can share civ answers,,
"2025-09-30,07:36:31",spicylemon._.,#0,Lmfao A-Z is wild,,https://cdn.discordapp.com/attachments/1412130655235604512/1422547659641847929/image0.jpg?ex=690a8dff&is=69093c7f&hm=ad145ec0c2aad4010177303ec4ea6953b204c6439284e6235537ee493d01943b&
"2025-09-30,08:06:23",mirageiiirz,#0,A channel that sabotages everyone else’s learning,german_airframe#0,
"2025-09-30,08:38:44",alanwang981,#0,well you also gotta solve the problems yourself to get the marks,,
"2025-09-30,08:38:51",alanwang981,#0,answers on their own don’t do anything,,
"2025-09-30,22:21:03",german_airframe,#0,"claim: Alan giving the answers actually enhances learning
evidence: I understand shit
Justification: i use alans answers to know that I was wrong, then I go find where I did wrong. Without alan's answers, I would have had the teacher tell me where I did wrong, and I would not have had the extra practice on what's the right thing. We also need to show our work in order to get full marks, making just the answers not sufficient.",mirageiiirz#0,
"2025-09-30,22:25:56",alanwang981,#0,LMAO,,
"2025-09-30,22:26:04",alanwang981,#0,bro did not fail praxis,,
"2025-09-30,22:26:16",spicylemon._.,#0,">> We also need to show our work in order to get full marks, making just the answers not sufficient.
counterclaim fr",,
"2025-09-30,22:27:02",alanwang981,#0,"addressing the counterclaim: because you need to show your work to get full marks, you are more motivated to do the problems yourself rather than rely on my answers, thus enhances your learning",,
"2025-10-01,10:16:19",shyahaltyo,#0,qualifier: this requires you to actually kinda understand what is happening,,
"2025-10-01,16:26:32",german_airframe,#0,"Adressing the qualifier: However, people mostly understand what's happening, and office hours are held already",shyahaltyo#0,
"2025-10-01,16:38:50",spicylemon._.,#0,counterclaiming the addressing of the qualifier: some people have other commitments (such as running back to res to have food 😭) and can't make office hours.,,
"2025-10-01,21:59:26",sean_heehee,#0,you might wanna check your Ry value cause i got 79000 kN flat and im not sure how you could have gotten an extra 200 kN,alanwang981#0,
"2025-10-01,22:00:15",alanwang981,#0,are you trolling or fr,,
"2025-10-01,22:00:43",alanwang981,#0,cuz this is like the 9th time someone told me I'm wrong (the previous times I have always been right),,
"2025-10-01,22:02:45",alanwang981,#0,anyway if youre fr I will look into it,,
"2025-10-01,22:15:00",mirageiiirz,#0,gambler's fallacy,alanwang981#0,
"2025-10-01,22:15:22",alanwang981,#0,gambler's fallacy is that this time I will be wrong,,
"2025-10-01,22:15:58",alanwang981,#0,but like,,
"2025-10-01,22:16:02",alanwang981,#0,it's actually kinda comical,,
"2025-10-01,22:16:08",alanwang981,#0,at today's phys lab some guy came up to me,,
"2025-10-01,22:16:15",alanwang981,#0,"said ""I think your answers are wrong""",,
"2025-10-01,22:16:18",alanwang981,#0,5 times,,
"2025-10-01,22:16:20",alanwang981,#0,💀,,
"2025-10-02,07:25:37",shyahaltyo,#0,hey hey hey we are not being very realism or commitment here,alanwang981#0,
"2025-10-02,07:26:02",shyahaltyo,#0,dont have so much dualism or multiplicity,,
"2025-10-02,10:01:58",alanwang981,#0,? wdym,,
"2025-10-02,13:28:23",sean_heehee,#0,truth nuke,,
"2025-10-03,10:06:00",shyahaltyo,#0,anti praxis moment,alanwang981#0,
"2025-10-03,10:06:16",shyahaltyo,#0,"for real truth nuke too op, system crashed",sean_heehee#0,
"2025-10-03,10:06:18",shyahaltyo,#0,ggs,,
"2025-10-03,10:06:22",shyahaltyo,#0,just ff,,
"2025-10-04,02:19:09",vwrrwe,#0,do you guys know what these are?,,https://cdn.discordapp.com/attachments/1412130655235604512/1423917341669982208/image.png?ex=690a439d&is=6908f21d&hm=40c2f749a7d3d102688dc11458a644e50b2ca906cc0315e1115481fa3840fc66&
"2025-10-04,02:20:20",vwrrwe,#0,are they the angle by the x axis?,,
"2025-10-04,02:20:24",alanwang981,#0,yes,,
"2025-10-04,03:05:36",.gharib,#0,i’m actually gonna go crazy how is Rs 79500 i keep getting 75600,alanwang981#0,
"2025-10-04,03:06:10",alanwang981,#0,why are you up at 3 am,,
"2025-10-04,03:06:21",alanwang981,#0,show me your work,.gharib#0,
"2025-10-04,03:06:32",.gharib,#0,can’t sleep,alanwang981#0,
"2025-10-04,03:06:58",.gharib,#0,,,https://cdn.discordapp.com/attachments/1412130655235604512/1423929376550158487/IMG_7678.jpg?ex=690a4ed2&is=6908fd52&hm=015c9b041e13c1be27e38feb3c0b699068bbb02c804ec995d758cb3514e278de&
"2025-10-04,03:07:09",.gharib,#0,i just plugged it into my calculator didn’t do all the working,,
"2025-10-04,03:07:55",alanwang981,#0,your angle is different from mine,,
"2025-10-04,03:08:06",.gharib,#0,27.303?,,
"2025-10-04,03:08:11",alanwang981,#0,nvm,,
"2025-10-04,03:08:16",.gharib,#0,u prob hsed,,
"2025-10-04,03:08:18",.gharib,#0,the outer part,,
"2025-10-04,03:08:19",alanwang981,#0,it's the same,,
"2025-10-04,03:08:42",alanwang981,#0,bro I cant read sideways 😭,,
"2025-10-04,03:08:47",.gharib,#0,one sec,,
"2025-10-04,03:09:11",.gharib,#0,,,https://cdn.discordapp.com/attachments/1412130655235604512/1423929934602174516/IMG_7679.jpg?ex=690a4f57&is=6908fdd7&hm=43bde3ceb3bef8484fb4c0de323934bf324be06280c063086a798c99596e629d&
"2025-10-04,03:11:32",alanwang981,#0,which way are you assuming the directions,,
"2025-10-04,03:11:45",alanwang981,#0,you should label on diagram,,
"2025-10-04,03:11:59",.gharib,#0,Direction of Rx is positive,,
"2025-10-04,03:14:34",alanwang981,#0,no but how about RJ and RS,,
"2025-10-04,03:14:52",.gharib,#0,the x components face the same way no?,,
"2025-10-04,03:14:55",.gharib,#0,so they should be positive as well,,
"2025-10-04,03:16:44",alanwang981,#0,no,,
"2025-10-04,03:16:56",alanwang981,#0,they should oppose Rx,,
"2025-10-04,03:17:04",alanwang981,#0,cuz you need equilirbium,,
"2025-10-04,03:17:37",.gharib,#0,omfg,,
"2025-10-04,03:17:40",.gharib,#0,😭,,
"2025-10-04,03:18:46",.gharib,#0,ok this is definitely not correct,,https://cdn.discordapp.com/attachments/1412130655235604512/1423932343109947483/Screenshot_2025-10-04_at_3.18.31_AM.png?ex=690a5195&is=69090015&hm=17d5e696e046cb14481c0604c3a5e55477f0f83c1d805da62d350a70a9760cbf&
"2025-10-04,03:18:52",.gharib,#0,how did my answer get 10x worse,,
"2025-10-04,03:21:08",alanwang981,#0,💀,,
"2025-10-04,03:21:59",.gharib,#0,do the y components have to be negative as well?,,
"2025-10-04,03:22:11",alanwang981,#0,yep,,
"2025-10-04,03:22:25",.gharib,#0,so its Ry - rs - rj - 13360,,
"2025-10-04,03:25:25",alanwang981,#0,13360?,,
"2025-10-04,03:27:14",.gharib,#0,the force being applied on member s,,
"2025-10-04,03:27:18",.gharib,#0,the one given in the q,,
"2025-10-04,03:27:24",.gharib,#0,also my answer is now the exact same thing just negative,,
"2025-10-04,03:27:44",.gharib,#0,like what the actual fuck bro,,https://cdn.discordapp.com/attachments/1412130655235604512/1423934604078743583/Screenshot_2025-10-04_at_3.27.31_AM.png?ex=690a53b1&is=69090231&hm=7d2e876d0c40968e43728061e26d010d3054bbff886d11753b2ed202c3d3dfa7&
"2025-10-04,09:37:11",mirageiiirz,#0,”sent at 3:06 am”,alanwang981#0,
"2025-10-04,11:32:02",german_airframe,#0,,,https://cdn.discordapp.com/attachments/1412130655235604512/1424056478783897640/image.png?ex=690ac532&is=690973b2&hm=3635d87ee74645a5580216c895804df9c25816a8c8a4ec6038a9630f5d57457e&
"2025-10-04,11:32:10",german_airframe,#0,this a 3340 or a 3540?,,
"2025-10-04,11:32:19",german_airframe,#0,oh,,
"2025-10-04,12:26:30",alanwang981,#0,shhhhh,mirageiiirz#0,
"2025-10-04,14:28:27",shyahaltyo,#0,yes,german_airframe#0,
"2025-10-04,14:28:45",shyahaltyo,#0,||(its a 3540)||,,
"2025-10-04,15:10:19",spicylemon._.,#0,The lab is only for 1h15min,,
"2025-10-04,15:10:28",spicylemon._.,#0,Do we also have a quiz 💀,,
"2025-10-04,15:29:11",german_airframe,#0,professor ahh statement,shyahaltyo#0,
"2025-10-04,15:32:38",german_airframe,#0,what civ answers did yall get?,,
"2025-10-04,15:32:50",mirageiiirz,#0,sybau,german_airframe#0,
"2025-10-04,15:36:57",spicylemon._.,#0,Are we cool to round intermediately for method of joints,,
"2025-10-04,15:37:15",spicylemon._.,#0,Urgh i dont wanna write our extra sigfigs,,
"2025-10-04,16:21:52",jacques_levois,#0,"If anyone is missing CIV notes from September, I have put together some summaries from the lectures on overleaf. A lot of people have been asking me for them, so I thought I would share them here. Hope this helps someone!",,https://cdn.discordapp.com/attachments/1412130655235604512/1424129417055305840/Jack_Levy_CIV_Notes_Part_1.pdf?ex=690a6060&is=69090ee0&hm=481524a9ba3918a8a0d9818bdde59e79cf67ce214e10f04f89050f4fa5e51e1b&
"2025-10-04,16:35:32",spicylemon._.,#0,Zayum,,
"2025-10-04,16:36:29",spicylemon._.,#0,Do we need to state along what axis the member forces we solve for are acting,,
"2025-10-04,16:50:30",qilin_xue,#0,Do you guys have the Allan kuan lecture notes,,
"2025-10-04,16:54:27",mirageiiirz,#0,bro thinks he's qilin,jacques_levois#0,
"2025-10-04,16:55:05",alanwang981,#0,yes,,
"2025-10-04,17:02:09",qilin_xue,#0,The notes are better than mine,mirageiiirz#0,
"2025-10-04,17:04:39",jacques_levois,#0,I cannot compete with Qilin's notes. They have been such a godsend in calc 🙌,,
"2025-10-04,19:44:55",.gharib,#0,i love you,jacques_levois#0,
"2025-10-04,19:45:48",.gharib,#0,can u send,qilin_xue#0,
"2025-10-04,20:19:39",mirageiiirz,#0,in beem we truss,,
"2025-10-04,21:13:40",spicylemon._.,#0,Ugh im getting IQ = 25000,alanwang981#0,
"2025-10-04,21:13:54",spicylemon._.,#0,Time to check ;(,,
"2025-10-04,21:15:22",alanwang981,#0,courses.skule.ca,.gharib#0,
"2025-10-04,21:17:41",spicylemon._.,#0,~~Oh my c answer is also different~~,,
"2025-10-04,21:17:43",spicylemon._.,#0,Ughghgh,,
"2025-10-04,21:19:08",luyu_wu,#0,ohwow i got scared i had to propogate the bridge but im silly,,
"2025-10-04,21:19:19",luyu_wu,#0,whyd i procrastinate on the last question err 😃,,
"2025-10-04,21:23:54",alanwang981,#0,check my edit,spicylemon._.#0,
"2025-10-04,21:24:04",alanwang981,#0,your answers match with mine right?,luyu_wu#0,
"2025-10-04,21:24:59",spicylemon._.,#0,I got the same length,alanwang981#0,
"2025-10-04,21:25:03",spicylemon._.,#0,Hmmmmm,,
"2025-10-04,21:25:49",luyu_wu,#0,mm yah got 50kn less on HI/HG but issok,alanwang981#0,
"2025-10-04,21:25:53",luyu_wu,#0,https://tenor.com/view/smile-gif-16028248189944099932,,
"2025-10-04,21:25:59",alanwang981,#0,yeah thats prob rounding,luyu_wu#0,
"2025-10-04,21:26:01",spicylemon._.,#0,Bruh i used the wrong angle 😭,,
"2025-10-04,21:26:39",spicylemon._.,#0,How do i do this carefully enough yet use the wrong angle for the easier relation 💀,,
"2025-10-04,21:26:55",alanwang981,#0,"resending my answers:
a) Rx = 89500kN, Ry = 79200kN, Ax = 89500kN
b) AB = 78600kN, AJ = 24400kN
c) RJ = 26800kN, RS = 79500kN
d) IZ = 22100kN, IH = HG = 18900kN, IQ = QY = 26200kN, ZY = QH = HP = 0kN

if you are getting different answers as me, 2 things to note:
- on b and c, AR has a compression force, which means it points into the joints
- on d, I got that the rightmost length is 19.64. if you can prove me wrong pls do that",,
"2025-10-04,21:31:08",spicylemon._.,#0,Im getting 60kN less in QY,,
"2025-10-04,21:31:25",spicylemon._.,#0,I kept 2 extra sigfigs mostly,,
"2025-10-04,21:32:21",snowkii,#0,maybe rounding error?,,
"2025-10-04,21:32:31",spicylemon._.,#0,"Rounded, my HI and IQ are 100kN less",,
"2025-10-04,21:32:35",spicylemon._.,#0,Probably,snowkii#0,
"2025-10-04,21:38:58",alanwang981,#0,same,spicylemon._.#0,
"2025-10-04,21:39:06",alanwang981,#0,sometimes 1,,
"2025-10-04,21:39:10",alanwang981,#0,so I have rounding error,,
"2025-10-04,21:39:15",alanwang981,#0,but after rounding our answers should be same,,
"2025-10-04,21:39:25",alanwang981,#0,or close enough,,
"2025-10-04,21:41:03",spicylemon._.,#0,Mine are 100kN off of urs,,
"2025-10-04,21:41:20",spicylemon._.,#0,I mean variation in the last digit is acceptable right ;-;,,
"2025-10-04,21:41:31",spicylemon._.,#0,By just 1,,
"2025-10-04,21:41:54",alanwang981,#0,🙏,,
"2025-10-04,23:19:32",german_airframe,#0,doesn't a compression force point otwards from the joints?,alanwang981#0,
"2025-10-04,23:19:46",alanwang981,#0,towards points,,
"2025-10-04,23:19:49",alanwang981,#0,cuz newton third law,,
"2025-10-04,23:21:03",spicylemon._.,#0,"The joints push against the member, compressing it, so the member pushes back on them",german_airframe#0,
"2025-10-04,23:25:26",german_airframe,#0,oh i seeeeee,,
"2025-10-04,23:29:40",alanwang981,#0,thats a good explanation,,
"2025-10-04,23:29:59",german_airframe,#0,holy fuck why do i keep getting 90k kn 😭,,
"2025-10-04,23:31:59",german_airframe,#0,,,https://cdn.discordapp.com/attachments/1412130655235604512/1424237661144748042/rn_image_picker_lib_temp_c101e356-71fd-4025-aabc-7cb98cc006bb.jpg?ex=690ac52f&is=690973af&hm=35bc5ca6881aae7417ad135a88a4f489f6c039ec7601e63790bad19d41d24384&
"2025-10-04,23:32:07",german_airframe,#0,Literally why why why why whyyyy,,
"2025-10-05,00:34:07",saanjana444,#0,can some1 explain what they did for civ...i have no idea where to start😿,,
"2025-10-05,00:40:50",alanwang981,#0,solve for reaction forces using equilibrium equations,,
"2025-10-05,00:40:59",alanwang981,#0,then look at each joint for the respective problem,,
"2025-10-05,00:41:03",alanwang981,#0,do some trig for the angles,,
"2025-10-05,00:42:14",saanjana444,#0,method of sections right?,,
"2025-10-05,00:55:36",alanwang981,#0,joints,,
"2025-10-05,00:55:40",alanwang981,#0,sections not needed at all,,
"2025-10-05,01:22:39",german_airframe,#0,ok i got 78700 kn for (b) AB,alanwang981#0,
"2025-10-05,01:22:51",alanwang981,#0,close enough,,
"2025-10-05,01:22:54",mirageiiirz,#0,787?,,
"2025-10-05,01:23:03",mirageiiirz,#0,https://tenor.com/view/bye-felicia-bye-bye-bitch-hell-naw-im-out-gif-5960202,,
"2025-10-05,01:23:09",mirageiiirz,#0,https://tenor.com/view/mazda-787b-gran-turismo-7-group-c-race-car-90s-race-car-gif-91460746257941563,,
"2025-10-05,01:23:27",mirageiiirz,#0,https://tenor.com/view/gran-turismo-7-mazda-787b-race-car-group-c-le-mans-gif-14051541065036908526,,
"2025-10-05,01:24:18",german_airframe,#0,yes my fav,mirageiiirz#0,
"2025-10-05,01:24:22",german_airframe,#0,absolute goat,,
"2025-10-05,01:24:35",german_airframe,#0,wait then for AJ i got 26810,alanwang981#0,
"2025-10-05,01:24:44",german_airframe,#0,is that somewhat close?,,
"2025-10-05,01:25:06",alanwang981,#0,uhhh no,,
"2025-10-05,01:27:18",german_airframe,#0,ok also,,
"2025-10-05,01:27:25",german_airframe,#0,did u get AB and AJ point away from a?,,
"2025-10-05,01:27:29",german_airframe,#0,<@696539245644349502>,alanwang981#0,
"2025-10-05,01:27:33",german_airframe,#0,i fixed my mistake lol,,
"2025-10-05,01:27:34",alanwang981,#0,meow,,
"2025-10-05,01:27:41",alanwang981,#0,can’t remember,german_airframe#0,
"2025-10-05,01:27:45",mirageiiirz,#0,AJ?,german_airframe#0,
"2025-10-05,01:27:53",mirageiiirz,#0,https://tenor.com/view/viggen-wednesday-ja37-ajs37-sweden-gif-14516842918421236274,,
"2025-10-05,01:28:32",german_airframe,#0,shouldn't it be JA 37,mirageiiirz#0,
"2025-10-05,01:28:35",german_airframe,#0,why is it  AJ 37,,
"2025-10-05,01:28:36",german_airframe,#0,bruh,,
"2025-10-05,01:28:37",german_airframe,#0,wtf,,
"2025-10-05,01:29:15",german_airframe,#0,https://tenor.com/view/viggen-warthunder-mgod79-premium-jet-gif-5868389458113463462,,
"2025-10-05,01:29:24",mirageiiirz,#0,,german_airframe#0,https://cdn.discordapp.com/attachments/1412130655235604512/1424267211308007445/image.png?ex=690a37f4&is=6908e674&hm=6a5574914de9a6338a240aae19b02422f1c131b90c3f46f3686ec057095b57dd&
"2025-10-05,01:29:28",german_airframe,#0,huh,,
"2025-10-05,01:29:32",german_airframe,#0,ground attack variant,,
"2025-10-05,01:29:36",german_airframe,#0,always gets me,,
"2025-10-05,01:29:39",german_airframe,#0,just like the mig 27 and mig 23,,
"2025-10-05,01:29:41",german_airframe,#0,same hting,,
"2025-10-05,01:29:51",german_airframe,#0,and don't even talk about the mriages,,
"2025-10-05,01:30:29",german_airframe,#0,https://tenor.com/view/haf-mirage-2000-5-formation-greek-mirage-2000-hellenic-air-force-%CE%B1%CE%B5%CF%81%CE%BF%CF%80%CE%BF%CF%81%CE%B9%CE%B1-%CF%83%CF%87%CE%B7%CE%BC%CE%B1%CF%84%CE%B9%CF%83%CE%BC%CE%BF%CF%82-gif-11916418042363228700,,
"2025-10-05,01:30:46",german_airframe,#0,https://tenor.com/view/yas-gif-27228992,,
"2025-10-05,01:30:57",mirageiiirz,#0,nice mirage,german_airframe#0,
"2025-10-05,01:33:00",german_airframe,#0,https://tenor.com/view/f15-idf-iaf-f-15-gif-14946797287260406505,,
"2025-10-05,01:44:40",german_airframe,#0,https://tenor.com/view/reddit-gif-19380466,,
"2025-10-06,19:39:47",shyahaltyo,#0,hey for the civ assignment do u have to divide thr surface arwa by 4 to get surface area for one side?,,
"2025-10-06,19:40:02",shyahaltyo,#0,cuz how else would you calculate for question d,,
"2025-10-06,19:40:34",shyahaltyo,#0,wait,,
"2025-10-06,19:40:39",shyahaltyo,#0,the S is just the outer side right,,
"2025-10-06,19:40:41",shyahaltyo,#0,?,,
"2025-10-06,20:13:09",shyahaltyo,#0,wtf this question is so confusing do u include the bottom chords for area or not,,
"2025-10-06,20:13:20",shyahaltyo,#0,cuz its covered by the rail anyways,,
"2025-10-06,21:24:10",german_airframe,#0,"wait is everything based off of A, B, and C?",,
"2025-10-06,22:01:01",shyahaltyo,#0,Yes 💀 💀 💀,,
"2025-10-06,22:01:12",shyahaltyo,#0,we should check these answers before doing d and e LMAOO,german_airframe#0,
"2025-10-06,22:30:08",mirageiiirz,#0,I got 587 quadrillion newtons,,
"2025-10-06,22:41:51",shyahaltyo,#0,shush,mirageiiirz#0,
"2025-10-06,23:04:33",german_airframe,#0,and i got the inverse of that,mirageiiirz#0,
"2025-10-06,23:04:39",german_airframe,#0,yeah true,shyahaltyo#0,
"2025-10-06,23:04:42",german_airframe,#0,bro <@696539245644349502>,alanwang981#0,
"2025-10-06,23:05:34",alanwang981,#0,meow,,
"2025-10-06,23:05:38",alanwang981,#0,I have praxis work,,
"2025-10-06,23:05:39",alanwang981,#0,sorry,,
